,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,14371,104388,8,1,4,2,multimat-right-multirow-both,8_4_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14472,103672,8,1,4,4,multimat-right-multirow-both,8_4_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17441,86009,8,2,4,1,multimat-right-multirow-both,8_4_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14720,101893,8,2,4,2,multimat-right-multirow-both,8_4_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14079,106540,8,2,4,4,multimat-right-multirow-both,8_4_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22086,67920,8,4,4,1,multimat-right-multirow-both,8_4_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19426,77222,8,4,4,2,multimat-right-multirow-both,8_4_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17280,86812,8,4,4,4,multimat-right-multirow-both,8_4_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11850,126576,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8930,167954,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9098,164884,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14417,104036,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10252,146329,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11650,128751,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18668,80364,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19608,76494,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13187,113814,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14378,104319,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14701,102024,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12970,115649,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16934,88577,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17977,83439,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13975,107324,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21373,70182,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,33112,45302,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14561,103023,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15573,96339,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16986,88308,4,1,4,2,multimat-right-multirow-both,4_4_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14407,104111,4,1,4,4,multimat-right-multirow-both,4_4_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,41066,36527,4,2,4,1,multimat-right-multirow-both,4_4_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,41410,36224,4,2,4,2,multimat-right-multirow-both,4_4_2_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,25625,58536,4,2,4,4,multimat-right-multirow-both,4_4_2_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,31633,47416,4,4,4,1,multimat-right-multirow-both,4_4_4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,25087,59791,4,4,4,2,multimat-right-multirow-both,4_4_4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21537,69646,4,4,4,4,multimat-right-multirow-both,4_4_4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13235,113330,8,1,1,1,multimat-right-multirow-both,8_1_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11431,131224,8,1,1,2,multimat-right-multirow-both,8_1_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11383,131774,8,1,1,4,multimat-right-multirow-both,8_1_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15035,99772,8,2,1,1,multimat-right-multirow-both,8_1_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11099,135162,8,2,1,2,multimat-right-multirow-both,8_1_2_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12453,120469,8,2,1,4,multimat-right-multirow-both,8_1_2_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18811,79734,8,4,1,1,multimat-right-multirow-both,8_1_4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19333,77590,8,4,1,2,multimat-right-multirow-both,8_1_4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13653,109874,8,4,1,4,multimat-right-multirow-both,8_1_4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16484,90990,8,1,2,1,multimat-right-multirow-both,8_2_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16056,93424,8,1,2,2,multimat-right-multirow-both,8_2_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14696,102060,8,1,2,4,multimat-right-multirow-both,8_2_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17816,84183,8,2,2,1,multimat-right-multirow-both,8_2_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18720,80124,8,2,2,2,multimat-right-multirow-both,8_2_2_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15302,98019,8,2,2,4,multimat-right-multirow-both,8_2_2_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,23776,63091,8,4,2,1,multimat-right-multirow-both,8_2_4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,33557,44701,8,4,2,2,multimat-right-multirow-both,8_2_4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17044,88014,8,4,2,4,multimat-right-multirow-both,8_2_4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,20114,74550,8,1,4,1,multimat-right-multirow-both,8_4_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,20563,72947,8,1,4,2,multimat-right-multirow-both,8_4_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19625,76437,8,1,4,4,multimat-right-multirow-both,8_4_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,41781,35902,8,2,4,1,multimat-right-multirow-both,8_4_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
