,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,14321,104730,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22290,67287,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22286,67328,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7075,212152,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7266,206424,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10635,141039,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11007,136275,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15102,99303,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15669,95696,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24082,62284,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24474,61287,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7130,210349,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7276,206099,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10788,139224,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10993,136425,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15639,95904,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15752,95272,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24515,61188,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24580,61002,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7047,212663,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7277,206596,8,8,1,triangle,multimat-right-work-distribution,8_8_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10964,136751,8,8,4,rectangle,multimat-right-work-distribution,8_8_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11218,133586,8,8,4,triangle,multimat-right-work-distribution,8_8_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16143,92906,8,8,8,rectangle,multimat-right-work-distribution,8_8_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16355,91740,8,8,8,triangle,multimat-right-work-distribution,8_8_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,25752,58250,8,8,16,rectangle,multimat-right-work-distribution,8_8_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,25852,58041,8,8,16,triangle,multimat-right-work-distribution,8_8_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8651,173464,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8422,178075,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10479,143092,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10591,141633,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
