,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,165748,9049,4,4,multimat-right,4_4,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,475782,3153,4,8,multimat-right,4_8,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,185187,8093,8,1,multimat-right,8_1,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,186700,8029,8,2,multimat-right,8_2,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,199999,7499,8,4,multimat-right,8_4,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,492814,3044,8,8,multimat-right,8_8,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,694575,2158,4,1,multimat-right,4_1,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,626581,2394,4,2,multimat-right,4_2,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,637289,2354,4,4,multimat-right,4_4,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,673804,2227,4,8,multimat-right,4_8,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,728992,2058,8,1,multimat-right,8_1,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,702633,2135,8,2,multimat-right,8_2,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,711540,2108,8,4,multimat-right,8_4,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,748663,2004,8,8,multimat-right,8_8,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,557712,2689,4,1,multimat-right,4_1,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,425742,3508,4,2,multimat-right,4_2,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,339366,4385,4,4,multimat-right,4_4,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,499082,3005,4,8,multimat-right,4_8,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,574652,2607,8,1,multimat-right,8_1,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,441039,3410,8,2,multimat-right,8_2,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,336601,4451,8,4,multimat-right,8_4,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,540002,2778,8,8,multimat-right,8_8,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,1904189,788,4,1,multimat-right,4_1,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1494289,1001,4,2,multimat-right,4_2,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1279668,1166,4,4,multimat-right,4_4,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,2026346,741,4,8,multimat-right,4_8,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1972287,760,8,1,multimat-right,8_1,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1541203,973,8,2,multimat-right,8_2,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1338981,1121,8,4,multimat-right,8_4,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,2097242,716,8,8,multimat-right,8_8,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,6941928,216,4,1,multimat-right,4_1,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5569312,270,4,2,multimat-right,4_2,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5295093,284,4,4,multimat-right,4_4,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5464546,276,4,8,multimat-right,4_8,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,7222909,209,8,1,multimat-right,8_1,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5713353,264,8,2,multimat-right,8_2,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6031602,249,8,4,multimat-right,8_4,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5964808,251,8,8,multimat-right,8_8,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6825690,220,4,1,multimat-right,4_1,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,4746063,318,4,2,multimat-right,4_2,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3739012,401,4,4,multimat-right,4_4,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3787075,399,4,8,multimat-right,4_8,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,6844583,220,8,1,multimat-right,8_1,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,4798232,314,8,2,multimat-right,8_2,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3777940,397,8,4,multimat-right,8_4,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3799917,398,8,8,multimat-right,8_8,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,15015510,94,8,8,multimat-right,8_8,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,13765837,100,8,4,multimat-right,8_4,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,24561850,60,4,1,multimat-right,4_1,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,17164276,84,4,2,multimat-right,4_2,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,13577441,100,4,4,multimat-right,4_4,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,13930598,100,4,8,multimat-right,4_8,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,24623363,59,8,1,multimat-right,8_1,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,17324265,83,8,2,multimat-right,8_2,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,50672058,30,8,4,multimat-right,8_4,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,66748328,23,8,2,multimat-right,8_2,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,97272064,16,8,1,multimat-right,8_1,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,97346626,16,4,1,multimat-right,4_1,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,66790177,23,4,2,multimat-right,4_2,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,50686291,30,4,4,multimat-right,4_4,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,43368300,35,4,8,multimat-right,4_8,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,43527490,35,8,8,multimat-right,8_8,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
