,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
6,453466,331,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,453271,331,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,453326,331,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,453363,331,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,329238,455,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,329109,456,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,329229,456,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,329160,456,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,329090,456,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,329164,456,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,329060,455,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,329148,455,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,329526,455,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,329207,456,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,264440,567,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,263803,568,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,264285,567,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,263999,568,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,264359,568,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,263903,568,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,264188,566,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,264077,568,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,264231,568,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,264078,569,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,259723,576,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,259268,578,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,259318,578,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,259426,578,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,259442,579,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,259787,577,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,259792,578,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,259502,577,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,260066,577,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,259989,580,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,3453815,36,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,3452590,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,3452957,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,3453333,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,3452544,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,3452815,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,3452642,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,3452517,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,3453328,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,3452600,44,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,2353791,49,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,2367513,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,2367282,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,2367348,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,2367163,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,2368950,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,2364134,63,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,2369918,63,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,2359648,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,2367613,64,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,1790576,59,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,1802532,83,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,1805721,83,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,1807618,82,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,1812171,82,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,1807452,82,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,1809707,82,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,1811815,82,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,1810752,83,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,1812917,83,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,1593530,64,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,1603907,92,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,1603379,92,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,1605921,93,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,1605234,94,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,1604288,93,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,1604138,94,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,1603697,93,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,1603070,94,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,1604361,93,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,3455645,36,8,1,1,none,20,multimat-right,8_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
