,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,19594,7643,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19609,7611,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19612,7653,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19609,7657,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19602,7653,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19608,7628,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,21763,6862,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,21779,6874,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,21850,6840,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,21830,6842,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,21789,6877,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,21811,6855,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,21847,6852,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,21836,6868,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,21788,6879,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,21818,6863,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,26064,5733,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26081,5708,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26075,5735,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26045,5764,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26085,5735,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26079,5744,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26071,5749,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26061,5760,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26063,5753,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26064,5755,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,26173,5709,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26165,5717,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26166,5707,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26191,5716,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26169,5697,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26201,5726,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26214,5721,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26201,5709,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26193,5731,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26169,5739,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,21517,6911,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,21539,6878,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,21501,6930,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,21575,6928,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,21540,6946,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,21555,6943,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,21543,6941,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,21537,6954,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,21532,6941,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,21536,6933,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,22358,6643,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,22394,6652,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,22358,6683,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
