,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,98872,1517,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
3,98624,1521,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
4,98871,1517,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
5,98871,1517,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
6,98624,1521,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
7,98871,1517,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
8,98619,1521,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
9,98866,1517,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
0,102696,1461,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
1,102566,1463,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
2,102703,1460,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
3,102570,1463,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
4,102686,1461,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
5,102692,1461,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
6,102564,1463,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
7,102699,1461,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
8,102689,1461,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
