,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,462284,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,462287,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,462309,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,462296,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,462321,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,462302,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,462274,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,462287,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,462280,325,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,352037,426,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,352023,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,352032,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,352020,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,352023,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,352030,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,352023,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,352016,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,352037,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,352023,427,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,324216,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,324006,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,324015,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,323934,464,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,324136,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,324035,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,324010,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,323999,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,324136,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,324074,463,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,5342330,25,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,5341915,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,5342098,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,5342098,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,5342207,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,5342061,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,5342134,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,5342207,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,5342573,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,5342207,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3624056,34,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3637972,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3658876,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3646114,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3644540,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3644565,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3639246,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3644540,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3644565,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
