,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,60846,2465,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
3,61152,2453,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
4,61078,2456,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
5,61148,2453,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
6,61153,2453,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
7,61150,2452,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
8,61076,2456,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
9,60844,2465,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
0,72456,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
1,72451,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
2,72473,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
3,72370,2073,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
4,72452,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
5,72470,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
6,72454,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
7,72458,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
8,72456,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
9,72454,2070,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
0,85870,1748,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
1,85909,1746,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
2,85882,1747,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
3,85906,1746,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
4,85884,1747,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
5,85904,1746,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
6,85887,1747,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
7,85911,1746,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
8,85890,1747,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
9,85908,1746,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
0,102936,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
1,102948,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
2,102942,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
3,102944,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
4,102941,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
5,102948,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
6,102948,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
7,102953,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
8,102950,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
9,102949,1457,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
0,185826,808,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
1,185874,807,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
2,185820,808,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
3,185855,807,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
4,185809,808,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
5,185874,807,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
6,185811,808,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
7,185853,807,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
8,185807,808,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
9,185861,807,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
0,230393,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
1,230398,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
2,230396,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
3,230398,651,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
4,230412,651,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
5,230411,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
6,230399,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
7,230404,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
8,230393,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
9,230394,652,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
0,380974,394,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
1,380552,395,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
2,380883,394,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
3,380505,395,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
4,380870,394,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
5,380484,395,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
6,380878,394,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
7,380507,395,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
8,380912,394,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
9,380523,395,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
0,402316,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
1,402248,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
2,402316,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
3,402267,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
4,402316,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
5,402253,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
6,402300,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
7,402250,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
8,402313,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
9,402271,373,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
0,1440770,92,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1440829,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1440771,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1440849,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1440766,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1440709,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1440911,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1440798,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1440778,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1440759,100,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1735158,79,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1734820,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1735198,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1734995,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1735270,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1734997,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1735279,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1735034,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1735222,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1735067,87,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,3354648,42,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
1,3346573,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
2,3347751,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
3,3355147,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
4,3350283,46,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
5,3348844,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
6,3355830,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
7,3345749,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
8,3352986,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
9,3344950,45,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
0,4301247,34,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
1,4301531,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
2,4301619,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
3,4302086,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
4,4301589,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
5,4301669,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
6,4299659,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
7,4293865,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
8,4293895,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
9,4293637,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
