,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
6,404565,371,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,404549,371,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,404529,371,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,404529,371,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,365642,410,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,365368,411,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,365383,411,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,365374,411,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,367797,411,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,369054,405,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,367945,407,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,367620,409,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,367666,409,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,367661,408,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,354962,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,354960,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,354979,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,354969,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,354943,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,354972,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,356138,423,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,357086,421,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,357081,421,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,357088,421,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,319151,472,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,319566,469,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,319568,470,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,319570,470,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
