,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,389731,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,389734,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,389710,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,389737,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,389726,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,389721,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,389732,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,389766,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,389733,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,297460,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,297525,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,297458,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,297394,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,297324,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,297628,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,297604,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,297333,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,297538,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,297485,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,259316,578,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,259414,581,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,259319,579,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,259227,579,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,259358,579,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,259117,579,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,259133,578,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,259693,578,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,259190,579,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,259268,579,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,4584850,28,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,4641325,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,4620163,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,4642654,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,4638037,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,4641725,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,4639779,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,4654336,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,4643470,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,4642133,33,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3124173,39,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3199289,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3201727,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3202813,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3204974,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3206570,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3204078,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3210704,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3205397,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3206830,48,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2342208,48,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2424630,61,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2427481,63,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2414624,63,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2431617,62,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2427359,62,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2434441,63,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2431577,63,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2420655,63,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2421615,63,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2000089,55,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2028052,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2034330,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2035438,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2035179,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2034703,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2036324,74,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2034252,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2037251,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2036925,75,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,4600611,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,4619388,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,4628976,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,4624601,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,4636180,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,4641787,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,4624104,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,4638621,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,4640734,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,4627301,33,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3151031,39,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3175211,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3206336,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3205013,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3197461,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3218235,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3210605,47,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3206399,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3206186,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3224149,48,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2391847,48,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2421972,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2422198,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2419154,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2420557,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2426631,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2422995,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2422471,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2424295,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2422327,63,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2006417,54,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2036832,74,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2023584,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2032926,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2028762,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2023720,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2021403,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2022493,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2031313,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2024900,75,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,55228373,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,55365982,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,55266621,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,55240641,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,55263916,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,55376897,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,55281661,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,55174112,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,55222615,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,55319208,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,38091531,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,38005758,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,38213427,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,37962957,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,38114157,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,38364120,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,38137182,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,38146194,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,38293081,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,37987942,5,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
