,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,7384,203273,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,7384,203262,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,7384,203265,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,7384,203270,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,7384,203268,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,11739,127765,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,11740,127824,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,11740,127821,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,11739,127826,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,11739,127827,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,11739,127825,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,11739,127827,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,11739,127824,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,11739,127819,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,11739,127818,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,11479,130665,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,11480,130777,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,11478,130808,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,11480,130806,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,11479,130813,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,11478,130815,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,11478,130810,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,11478,130827,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,11477,130806,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,11478,130775,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,19540,76732,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19544,76763,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
