,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,15248,98184,4,8,triangle,basic-work_distribution,4_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,24250,61861,4,16,rectangle,basic-work_distribution,4_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,23819,62949,4,16,triangle,basic-work_distribution,4_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9240,162423,8,1,rectangle,basic-work_distribution,8_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8728,171963,8,1,triangle,basic-work_distribution,8_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10194,147132,8,2,rectangle,basic-work_distribution,8_2_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9160,163732,8,2,triangle,basic-work_distribution,8_2_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10829,138520,8,4,rectangle,basic-work_distribution,8_4_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10700,140177,8,4,triangle,basic-work_distribution,8_4_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15346,97766,8,8,rectangle,basic-work_distribution,8_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15611,96140,8,8,triangle,basic-work_distribution,8_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,24486,61258,8,16,rectangle,basic-work_distribution,8_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,24707,60717,8,16,triangle,basic-work_distribution,8_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14864,100929,4,1,rectangle,basic-work_distribution,4_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14682,102121,4,1,triangle,basic-work_distribution,4_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,17991,83321,4,2,rectangle,basic-work_distribution,4_2_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14995,100025,4,2,triangle,basic-work_distribution,4_2_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,19273,77882,4,4,rectangle,basic-work_distribution,4_4_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,16855,88965,4,4,triangle,basic-work_distribution,4_4_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,23262,64481,4,8,rectangle,basic-work_distribution,4_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,23400,64095,4,8,triangle,basic-work_distribution,4_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39301,38167,4,16,rectangle,basic-work_distribution,4_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39325,38141,4,16,triangle,basic-work_distribution,4_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15348,97728,8,1,rectangle,basic-work_distribution,8_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14896,100741,8,1,triangle,basic-work_distribution,8_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,17976,83473,8,2,rectangle,basic-work_distribution,8_2_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14943,100413,8,2,triangle,basic-work_distribution,8_2_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,21323,70331,8,4,rectangle,basic-work_distribution,8_4_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,18936,79234,8,4,triangle,basic-work_distribution,8_4_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26750,56082,8,8,rectangle,basic-work_distribution,8_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26127,57379,8,8,triangle,basic-work_distribution,8_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39360,38117,8,16,rectangle,basic-work_distribution,8_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39078,38383,8,16,triangle,basic-work_distribution,8_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26107,57463,4,1,rectangle,basic-work_distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,25650,58486,4,1,triangle,basic-work_distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,27067,55416,4,2,rectangle,basic-work_distribution,4_2_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,26669,56262,4,2,triangle,basic-work_distribution,4_2_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29948,50095,4,4,rectangle,basic-work_distribution,4_4_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29096,51595,4,4,triangle,basic-work_distribution,4_4_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,32909,45593,4,8,rectangle,basic-work_distribution,4_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,31421,47741,4,8,triangle,basic-work_distribution,4_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,42110,35622,4,16,rectangle,basic-work_distribution,4_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,41948,35759,4,16,triangle,basic-work_distribution,4_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,26712,56146,8,1,rectangle,basic-work_distribution,8_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,26112,57447,8,1,triangle,basic-work_distribution,8_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,27956,53676,8,2,rectangle,basic-work_distribution,8_2_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,27597,54366,8,2,triangle,basic-work_distribution,8_2_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,30925,48517,8,4,rectangle,basic-work_distribution,8_4_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,28952,51816,8,4,triangle,basic-work_distribution,8_4_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,38908,38554,8,8,rectangle,basic-work_distribution,8_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,36827,40734,8,8,triangle,basic-work_distribution,8_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,53375,28102,8,16,rectangle,basic-work_distribution,8_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,46727,32121,8,16,triangle,basic-work_distribution,8_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,87319,17176,4,1,rectangle,basic-work_distribution,4_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,86264,17402,4,1,triangle,basic-work_distribution,4_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,87388,17165,4,2,rectangle,basic-work_distribution,4_2_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,86629,17314,4,2,triangle,basic-work_distribution,4_2_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,91838,16334,4,4,rectangle,basic-work_distribution,4_4_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,91347,16418,4,4,triangle,basic-work_distribution,4_4_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,103291,10000,4,8,rectangle,basic-work_distribution,4_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,103830,10000,4,8,triangle,basic-work_distribution,4_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,129430,10000,4,16,rectangle,basic-work_distribution,4_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,123830,10000,4,16,triangle,basic-work_distribution,4_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
