,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
7,11118,10000,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,11119,10000,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,11117,10000,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,12397,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
1,12398,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
2,12401,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
3,12398,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
4,12396,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,12398,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,12397,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,12401,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,12399,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,12395,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,13705,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,13707,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,13708,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,13707,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,13709,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,13707,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,13709,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,13707,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,13708,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,13709,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15444,9676,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,15442,9682,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,15444,9689,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,15443,9701,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,15440,9689,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,15445,9701,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,15440,9695,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,15440,9682,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,15443,9682,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,15440,9682,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15414,9708,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,15414,9701,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,15414,9701,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,15414,9701,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,15413,9695,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,15415,9701,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,15414,9701,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,15414,9708,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,15413,9695,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,15412,9695,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,28358,5274,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,28352,5275,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,28347,5287,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,28348,5283,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,28348,5291,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,28341,5281,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,28347,5281,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,28340,5283,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,28345,5279,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,28341,5287,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,31790,4709,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,31789,4715,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,31794,4717,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,31800,4714,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,31793,4711,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,31798,4711,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,31794,4709,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,31797,4706,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,31796,4717,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,31789,4709,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,32628,4595,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,32612,4590,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,32606,4597,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,32618,4597,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,32616,4590,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,32625,4591,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,32623,4594,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,32631,4591,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,32620,4597,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,32612,4591,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,62047,2415,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,62060,2417,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,62054,2416,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,62053,2415,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,62053,2415,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,62048,2415,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,62044,2416,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,62053,2416,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
