,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,21499,69753,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21502,69749,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,15235,98261,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,15237,98422,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,15238,98424,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,15239,98418,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,15237,98427,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,15237,98417,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,15237,98414,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,15244,98413,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,15238,98427,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,15237,98423,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,18182,82434,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,18173,82532,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,18173,82509,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,18178,82524,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,18173,82492,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,18173,82506,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,18171,82512,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,18172,82512,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,18181,82527,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,18173,82522,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22020,68023,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22020,68118,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22020,68113,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22020,68122,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22019,68117,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22020,68126,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22021,68126,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22020,68121,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22020,68118,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22019,68123,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,24549,61079,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,24546,61093,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,24548,61095,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,24547,61099,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,24546,61100,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,24544,61094,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,24545,61101,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,24548,61106,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,24548,61099,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,24545,61091,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,21183,70763,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,21184,70806,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,21184,70816,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,21184,70805,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,21184,70806,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,21183,70806,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,21183,70802,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,21183,70809,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,21183,70803,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21184,70807,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,20311,73739,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,20312,73834,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,20309,73846,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,20310,73831,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,20316,73829,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,20315,73834,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,20308,73838,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,20313,73841,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,20306,73838,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
