,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,11966,125279,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19008,78733,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19086,78448,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5297,282157,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5445,275001,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8944,167526,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9130,164037,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13759,109002,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13884,108014,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22546,65863,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22666,65540,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5353,280005,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5463,274234,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8925,167685,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9303,161114,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13750,109054,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14185,105675,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22992,64633,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,23371,63543,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5486,273404,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5553,269998,8,8,1,triangle,multimat-right-work-distribution,8_8_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9574,156493,8,8,4,rectangle,multimat-right-work-distribution,8_8_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9658,155296,8,8,4,triangle,multimat-right-work-distribution,8_8_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
