,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,27716,5418,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27677,5421,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,22398,6668,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,22369,6658,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,22446,6661,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,22411,6668,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,22407,6684,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,22338,6636,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,22405,6688,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,22357,6706,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,22417,6682,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,22340,6700,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
