,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,16479,9071,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,16503,9000,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,16436,8927,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,16499,9026,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,16449,9074,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,20040,7354,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,20076,7381,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,20057,7385,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,20011,7296,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,20002,7403,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19983,7498,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,20054,7344,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,20030,7506,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,20065,7393,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,20015,7463,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,20450,7193,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,20389,7196,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,20484,7204,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,20444,7276,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,20430,7301,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,20363,7275,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,20386,7349,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,20388,7344,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,20435,7267,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,20369,7357,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27301,5424,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27288,5385,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27324,5421,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27365,5439,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27271,5499,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27189,5516,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27320,5494,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
