,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,18581,8061,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18588,8058,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,14509,10340,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,14537,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,14590,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,14584,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,14572,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,14601,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,14608,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,14610,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,14555,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,14585,10000,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,15951,9404,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,15964,9405,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,15996,9355,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,15972,9363,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,15986,9346,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,15974,9385,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,15993,9366,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,15989,9357,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
