,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,11003,10000,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,11028,10000,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,11000,10000,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,10981,10000,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,11001,10000,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,13611,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13649,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13683,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13680,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13651,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13685,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,13680,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,13684,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,13663,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,13679,10000,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,13451,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13461,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13486,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13512,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13485,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13484,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,13505,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,13496,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,13486,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,13487,10000,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,18884,7897,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18886,7906,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
