,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,1407310,1072,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1407908,1069,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1408618,1069,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1408549,1074,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1408953,1069,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1409443,1069,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1410132,1068,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1410010,1071,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1408851,1068,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,988680,1544,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,988879,1529,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,988624,1529,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,989200,1528,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,989024,1531,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
