,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
3,20025,74923,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,20025,74934,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,20025,74929,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,20024,74930,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,20024,74940,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,20024,74925,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,20024,74931,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,16399,91450,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,16401,91464,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,16401,91450,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,16402,91479,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,16402,91471,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,16402,91452,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,16400,91481,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,16401,91466,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,16401,91463,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,16401,91443,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,14429,103946,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,14429,104003,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,14430,104007,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,14429,104004,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,14429,104005,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,14429,104004,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,14429,104002,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,14428,103997,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,14429,104006,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,14429,103996,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,17654,84959,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,17654,85003,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
