,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,15477,9556,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,15399,9713,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,15480,9668,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,15408,9715,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,15446,9651,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19238,7753,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19253,7721,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19256,7769,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19240,7810,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19262,7693,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19228,7829,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19246,7823,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19262,7792,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19256,7789,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19221,7689,4,1,8,rectangle,20,multimat-right-work-distribution,4_1_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19180,7761,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19209,7756,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19213,7794,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19234,7814,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19223,7755,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19221,7779,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19209,7804,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19242,7793,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19183,7801,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19226,7737,4,1,8,triangle,20,multimat-right-work-distribution,4_1_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27079,5548,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27086,5531,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27011,5562,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27060,5558,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27054,5538,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27049,5545,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27026,5564,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27100,5541,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27039,5552,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27045,5558,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,26916,5548,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26982,5566,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26893,5549,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26948,5578,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26918,5580,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26934,5540,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26898,5585,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26971,5564,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26910,5585,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26959,5561,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,13035,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13035,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13030,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13054,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13045,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13050,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,13042,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,13039,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,13066,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,13057,10000,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,12755,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,12760,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,12785,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,12800,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,12777,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,12800,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,12785,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,12797,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,12778,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,12798,10000,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,15602,9565,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,15628,9533,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,15638,9500,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,15632,9591,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,15635,9571,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,15629,9602,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,15635,9574,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,15649,9542,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,15620,9576,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,15633,9591,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,15657,9498,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,15668,9528,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,15691,9534,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,15697,9526,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
