,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,27446,5468,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27432,5475,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27411,5477,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27492,5460,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27441,5476,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27442,5490,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,29648,5034,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,29624,5041,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,29563,5071,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,29536,5090,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,29559,5076,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,29537,5096,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,29544,5081,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,29535,5092,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,29505,5067,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,29542,5071,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,32022,4673,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,32066,4677,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,31992,4675,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,32029,4692,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,32017,4692,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,32026,4683,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,31981,4695,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,32041,4683,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,31965,4672,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,32020,4675,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,33201,4493,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,33209,4521,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,33137,4523,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,33223,4511,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,33231,4522,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,33114,4516,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,33153,4498,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,33218,4499,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,33157,4530,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,33193,4505,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,29880,4995,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,29790,5009,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,29770,5014,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,29844,5034,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,29753,5030,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,29769,5023,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,29835,5017,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,29815,5025,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,29797,5031,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,29857,5023,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,32219,4622,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,32020,4655,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,32034,4679,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,32142,4634,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,32080,4671,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,32067,4667,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,32145,4633,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,32075,4670,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,32086,4688,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,32167,4626,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,32547,4583,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,32465,4618,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,32407,4623,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,32470,4613,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,32361,4640,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,32324,4633,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,32404,4622,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,32377,4619,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,32408,4634,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,32441,4615,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,33698,4412,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,33586,4454,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,33538,4459,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,33648,4444,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,33539,4464,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,33585,4441,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,33638,4464,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,33570,4463,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,33526,4457,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
