,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
3,24560,61082,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,24560,61091,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,24561,61085,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,24560,61088,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,24562,61084,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,24561,61087,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,24560,61084,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,27888,53787,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,27889,53797,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,27886,53799,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,27885,53800,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,27886,53797,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,27885,53808,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,27888,53802,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,27886,53800,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,27888,53799,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,27886,53802,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23298,64388,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23300,64372,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23301,64448,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23302,64368,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23302,64399,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23302,64380,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23305,64356,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23297,64372,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23306,64400,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23313,64322,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,27317,54911,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,27317,54920,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,27319,54920,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,27320,54916,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,27320,54914,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,27318,54914,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,27317,54918,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,27317,54922,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,27319,54918,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,27319,54919,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,26346,56937,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,26348,56956,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,26356,56954,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,26363,56910,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,26361,56915,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,26361,56906,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,26353,56906,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,26362,56908,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,26361,56912,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,26364,56905,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,19285,77853,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19281,77855,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,19285,77804,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,19272,77855,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,19271,77871,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19275,77863,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19285,77844,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19288,77789,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19287,77793,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19285,77811,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23576,63616,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23575,63642,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23574,63637,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23577,63630,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23573,63623,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23575,63646,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23578,63617,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23577,63633,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23576,63639,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23578,63626,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23320,64325,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23316,64345,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23317,64354,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23314,64354,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23314,64360,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23318,64340,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23315,64367,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23314,64354,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23315,64360,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23317,64345,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23556,63675,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23569,63688,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23570,63704,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23587,63560,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23560,63672,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23566,63692,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23582,63675,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23594,63587,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23584,63597,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23594,63595,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,26480,56661,8,2,2,1,none,multimat-both,8_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,26469,56672,8,2,2,1,none,multimat-both,8_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,26472,56661,8,2,2,1,none,multimat-both,8_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,26452,56702,8,2,2,1,none,multimat-both,8_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,26474,56745,8,2,2,1,none,multimat-both,8_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
