,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,1341909,1143,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1347661,1142,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1342625,1142,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1348990,1142,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1350790,1138,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1358328,1129,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1358608,1131,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1365245,1127,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1381523,1120,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,929225,1887,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,989446,1632,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,989596,1635,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,996289,1624,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1000933,1621,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1004682,1601,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,960118,1629,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1022654,1595,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1026477,1573,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,971443,1662,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1877166,837,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1912494,799,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1922808,789,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1898937,824,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1922308,790,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1912996,791,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1911759,790,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1911686,791,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1913036,792,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1915635,804,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1097015,1480,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1103688,1430,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1164481,1346,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1164009,1350,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1159841,1367,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1164575,1344,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1164479,1342,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
