,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,12479,120152,4,8,triangle,basic-work_distribution,4_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,20475,72826,4,16,rectangle,basic-work_distribution,4_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,20747,71790,4,16,triangle,basic-work_distribution,4_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8157,183604,8,1,rectangle,basic-work_distribution,8_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7343,204288,8,1,triangle,basic-work_distribution,8_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8860,169126,8,2,rectangle,basic-work_distribution,8_2_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7175,209004,8,2,triangle,basic-work_distribution,8_2_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9544,157124,8,4,rectangle,basic-work_distribution,8_4_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8558,175152,8,4,triangle,basic-work_distribution,8_4_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12699,118067,8,8,rectangle,basic-work_distribution,8_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12701,118080,8,8,triangle,basic-work_distribution,8_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,20887,71226,8,16,rectangle,basic-work_distribution,8_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,21146,70381,8,16,triangle,basic-work_distribution,8_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15313,97492,4,1,rectangle,basic-work_distribution,4_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14915,100513,4,1,triangle,basic-work_distribution,4_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,16221,92416,4,2,rectangle,basic-work_distribution,4_2_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14627,102518,4,2,triangle,basic-work_distribution,4_2_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
