,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6744,222374,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7091,211588,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7092,211671,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5735,261561,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5729,261991,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7106,211277,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7111,211031,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5760,260389,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5725,262090,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7090,211790,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7090,211573,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5771,259881,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5747,261216,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8537,175726,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8542,175612,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6919,216447,32,32,32,1,0,warp-per-shift-shared-memory,32_32_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6882,217633,32,32,32,1,1,warp-per-shift-shared-memory,32_32_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8532,175667,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8547,175397,32,128,32,0,1,warp-per-shift-shared-memory,32_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6908,216957,32,128,32,1,0,warp-per-shift-shared-memory,32_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6912,216713,32,128,32,1,1,warp-per-shift-shared-memory,32_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,12878,116317,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12882,116263,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10036,149387,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10053,149129,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12875,116311,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12837,116619,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10047,149287,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10010,149823,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12831,116662,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12875,116394,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10007,149837,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10041,149354,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10734,139638,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10732,139684,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8610,174132,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8594,174383,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10734,139580,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10768,139055,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8573,174891,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8590,174532,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10763,139129,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10738,139503,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8574,174845,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8574,174882,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9931,151134,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9888,151680,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8289,180687,32,32,32,1,0,warp-per-shift-shared-memory,32_32_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8284,180988,32,32,32,1,1,warp-per-shift-shared-memory,32_32_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9925,151296,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
