,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,25426,58971,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,25426,58965,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,25427,58960,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,25428,58973,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,25427,58979,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,25426,58972,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,27340,54842,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,27340,54864,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,27341,54866,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,27340,54857,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,27341,54862,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,27340,54860,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,27340,54858,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,27340,54861,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,27339,54858,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,27340,54863,4,2,4,1,none,multimat-both,4_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,21570,69536,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,21564,69538,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,21569,69532,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,21567,69539,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,21562,69549,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,21567,69524,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,21567,69556,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,21567,69532,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,21565,69547,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21560,69540,4,4,1,1,none,multimat-both,4_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,27419,54699,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,27420,54708,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,27419,54712,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,27418,54708,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,27419,54707,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,27419,54708,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,27419,54711,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,27418,54711,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,27419,54709,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,27420,54712,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,26995,55544,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,26991,55568,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,26990,55568,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,26992,55566,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,26992,55569,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,26991,55570,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,26993,55566,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,26992,55568,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,26994,55571,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,26990,55571,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,17304,86716,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,17289,86740,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,17284,86767,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
