,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,21667,69230,8,2,1,basic-multirow_both,8_2_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,18391,81558,8,2,2,basic-multirow_both,8_2_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,18846,79590,8,2,4,basic-multirow_both,8_2_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,17899,83800,8,2,8,basic-multirow_both,8_2_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,37683,39807,8,4,1,basic-multirow_both,8_4_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,21111,71048,8,4,2,basic-multirow_both,8_4_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,19684,76207,8,4,4,basic-multirow_both,8_4_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,17895,83815,8,4,8,basic-multirow_both,8_4_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,27815,53924,8,8,1,basic-multirow_both,8_8_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,25414,59022,8,8,2,basic-multirow_both,8_8_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,20693,72488,8,8,4,basic-multirow_both,8_8_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,21288,70455,8,8,8,basic-multirow_both,8_8_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,26070,57542,4,1,1,basic-multirow_both,4_1_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,18349,81741,4,1,2,basic-multirow_both,4_1_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,16552,90622,4,1,4,basic-multirow_both,4_1_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,16615,90330,4,1,8,basic-multirow_both,4_1_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,29367,51092,4,2,1,basic-multirow_both,4_2_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,21094,71111,4,2,2,basic-multirow_both,4_2_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,23095,64949,4,2,4,basic-multirow_both,4_2_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,17641,85033,4,2,8,basic-multirow_both,4_2_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,54612,27465,4,4,1,basic-multirow_both,4_4_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,28983,51754,4,4,2,basic-multirow_both,4_4_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
