,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,7218,207786,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7234,207298,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6315,237526,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6665,225046,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,25923,57823,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,23183,64607,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8265,181469,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8646,173498,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6941,216133,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7597,197488,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,66091,22823,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,58148,26650,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15302,99882,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15539,98714,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12764,117517,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12480,122342,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,59156,25699,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,57977,26252,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15570,97446,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15728,97266,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,13183,113784,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12919,116543,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,83291,18010,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,72923,20562,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,19082,78450,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,18489,80693,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14382,103510,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14664,101891,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,160596,9519,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,144833,10000,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,36236,42793,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,37385,42088,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,28174,54280,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29059,54201,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,142818,10000,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,140898,10000,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,35942,42822,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,36807,41951,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,28621,53666,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29054,52761,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,196510,7630,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,172340,8719,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,42602,35501,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,41836,36270,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,31321,48552,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,32340,46997,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,504554,3236,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,574038,2696,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,525906,3526,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,149292,10000,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,154515,10000,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,118733,10000,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,122768,10000,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,510092,3437,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,145437,10000,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,149117,10000,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,117161,10000,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,119703,10000,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,672141,2232,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,593927,2567,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,158003,10000,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,155615,10000,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,121158,10000,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,123242,10000,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1515708,1013,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1419818,1250,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,422936,4365,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,439210,4719,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,353939,5617,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,365248,5673,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1335732,1178,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1358068,1260,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,412479,4635,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,421695,4648,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,348133,5729,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,350737,5610,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1707204,879,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1541339,992,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,426247,3780,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,423732,3914,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,349849,4951,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,350674,4926,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,5414202,299,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1951338,844,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1973039,907,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1678582,1009,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1702153,976,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,5123405,310,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1882052,877,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1886646,883,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1654806,1122,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1680463,1005,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,5577143,273,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1872881,848,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1876527,856,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1634349,1010,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1656260,1011,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,5778572,276,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5934268,271,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5120953,321,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5231105,309,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5597556,285,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5749120,282,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5063682,319,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5070793,319,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5596008,285,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5619113,282,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5046229,315,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,5061933,316,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
