,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
7,22500,66711,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22508,66613,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22502,66639,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,17014,88177,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,17014,88116,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,17018,88140,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,17015,88156,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,17015,88134,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,17012,88141,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,17014,88133,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,17007,88167,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,17014,88123,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,17018,88135,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,20015,74936,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,20013,74945,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,20011,74954,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,20013,74954,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,20012,74953,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,20013,74944,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,20014,74947,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,20015,74935,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,20014,74934,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,20016,74945,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22326,67201,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22325,67203,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22324,67201,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22314,67211,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22315,67215,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22322,67208,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22310,67224,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22313,67208,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22318,67231,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22315,67206,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,24066,62321,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,24067,62326,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,24063,62326,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,24067,62331,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,24072,62327,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,24069,62296,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,24070,62323,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,24071,62320,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,24064,62332,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,24064,62332,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,19299,77733,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19293,77729,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,19299,77726,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
