,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,9431,159020,4,8,triangle,basic-work_distribution,4_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15110,99264,4,16,rectangle,basic-work_distribution,4_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14902,100656,4,16,triangle,basic-work_distribution,4_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6303,237931,8,1,rectangle,basic-work_distribution,8_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5294,283211,8,1,triangle,basic-work_distribution,8_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6293,238338,8,2,rectangle,basic-work_distribution,8_2_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5310,282440,8,2,triangle,basic-work_distribution,8_2_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6953,215672,8,4,rectangle,basic-work_distribution,8_4_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7097,211320,8,4,triangle,basic-work_distribution,8_4_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10204,146982,8,8,rectangle,basic-work_distribution,8_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10366,144712,8,8,triangle,basic-work_distribution,8_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,16910,88703,8,16,rectangle,basic-work_distribution,8_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,17132,87543,8,16,triangle,basic-work_distribution,8_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10819,138363,4,1,rectangle,basic-work_distribution,4_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,10191,147448,4,1,triangle,basic-work_distribution,4_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,11811,127023,4,2,rectangle,basic-work_distribution,4_2_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,10709,140082,4,2,triangle,basic-work_distribution,4_2_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14074,106712,4,4,rectangle,basic-work_distribution,4_4_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12274,122318,4,4,triangle,basic-work_distribution,4_4_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,16680,89981,4,8,rectangle,basic-work_distribution,4_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15341,97859,4,8,triangle,basic-work_distribution,4_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,24722,60690,4,16,rectangle,basic-work_distribution,4_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,23600,63585,4,16,triangle,basic-work_distribution,4_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,11575,129634,8,1,rectangle,basic-work_distribution,8_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,10817,138697,8,1,triangle,basic-work_distribution,8_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12855,116686,8,2,rectangle,basic-work_distribution,8_2_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,11732,127946,8,2,triangle,basic-work_distribution,8_2_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,16971,88444,8,4,rectangle,basic-work_distribution,8_4_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,12034,124649,8,4,triangle,basic-work_distribution,8_4_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,19618,76481,8,8,rectangle,basic-work_distribution,8_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15795,95019,8,8,triangle,basic-work_distribution,8_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,27557,54447,8,16,rectangle,basic-work_distribution,8_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26676,56244,8,16,triangle,basic-work_distribution,8_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,20221,73781,4,1,rectangle,basic-work_distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,19442,77093,4,1,triangle,basic-work_distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,21535,69382,4,2,rectangle,basic-work_distribution,4_2_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,20666,72334,4,2,triangle,basic-work_distribution,4_2_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,25346,59181,4,4,rectangle,basic-work_distribution,4_4_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,21276,70124,4,4,triangle,basic-work_distribution,4_4_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,28856,51983,4,8,rectangle,basic-work_distribution,4_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,23654,63414,4,8,triangle,basic-work_distribution,4_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,41656,36009,4,16,rectangle,basic-work_distribution,4_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29887,50189,4,16,triangle,basic-work_distribution,4_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,20665,72229,8,1,rectangle,basic-work_distribution,8_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,19974,74788,8,1,triangle,basic-work_distribution,8_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,22703,66058,8,2,rectangle,basic-work_distribution,8_2_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,20936,71265,8,2,triangle,basic-work_distribution,8_2_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,24702,60711,8,4,rectangle,basic-work_distribution,8_4_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,22954,65350,8,4,triangle,basic-work_distribution,8_4_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,30457,49251,8,8,rectangle,basic-work_distribution,8_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,20914,71595,8,8,triangle,basic-work_distribution,8_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,35730,41981,8,16,rectangle,basic-work_distribution,8_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,33648,44579,8,16,triangle,basic-work_distribution,8_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,73952,20645,4,1,rectangle,basic-work_distribution,4_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,72986,20907,4,1,triangle,basic-work_distribution,4_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,73018,20741,4,2,rectangle,basic-work_distribution,4_2_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,72140,21064,4,2,triangle,basic-work_distribution,4_2_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
