,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,7901,18985,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,7901,18984,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,7899,18987,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,7901,18989,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,7901,18981,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,7900,18979,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8947,16768,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,8945,16766,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,8947,16768,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,8945,16766,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,8946,16768,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,8945,16767,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,8945,16767,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,8945,16767,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,8945,16768,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,8946,16769,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
