,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,7290470,10000,3381999,45,6986220,10000,4435614,1,7437743,1,256,fft,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
9,7283838,10000,3383341,45,6981615,10000,4415036,1,7542886,1,256,fft,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
0,23560958,10000,11502828,13,22813227,10000,8458629,1,14716413,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
1,23548002,10000,11487074,13,22823634,10000,8590900,1,12531260,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
2,23558305,10000,11504932,14,22824731,10000,8576057,1,12873451,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
3,23559154,10000,11510710,14,22826217,10000,8526074,1,12775872,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
4,23558956,10000,11499885,14,22825288,10000,8583908,1,11816049,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
5,23546945,10000,11516297,13,22810602,10000,8515713,1,14741443,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
6,23558891,10000,11514722,13,22825267,10000,8558210,1,12424171,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
7,23558698,10000,11477064,14,22825660,10000,8466347,1,14084829,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
8,23559058,10000,11503250,14,22825733,10000,16865972,1,11582202,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
9,23547772,10000,11494557,13,22822153,10000,16800570,1,13172298,1,256,fft,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
