,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
6,587174,256,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,587142,256,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,587040,256,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,587230,256,8,1,1,none,20,multimat-right,8_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,447159,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,447173,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,446907,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,447264,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,447046,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,447160,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,447082,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,447018,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,447007,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,447118,336,8,2,1,none,20,multimat-right,8_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,363910,412,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,363941,413,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,363913,413,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,363596,413,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,363734,412,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,363486,413,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,363800,413,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,363669,412,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,363737,412,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,363884,413,8,4,1,none,20,multimat-right,8_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,332252,451,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,332322,452,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,332594,453,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,332653,451,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,332106,452,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,331868,452,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,331757,452,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,332557,451,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,332030,453,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,332664,453,8,8,1,none,20,multimat-right,8_8,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,4487397,25,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,4511445,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,4511633,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,4511591,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,4508388,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,4514942,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,4524345,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,4521563,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,4512050,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,4511697,34,4,1,1,none,20,multimat-right,4_1,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,3383096,31,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,3415558,44,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,3406909,44,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,3413428,45,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,3438850,44,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,3408417,44,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,3416018,44,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,3401973,45,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,3400254,44,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,3402793,45,4,2,1,none,20,multimat-right,4_2,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,2580299,60,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,2579245,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,2578626,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,2577260,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,2580844,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,2570590,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,2571976,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,2556617,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,2560838,58,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,2559188,59,4,4,1,none,20,multimat-right,4_4,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,2229271,68,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,2236313,67,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,2238880,67,4,8,1,none,20,multimat-right,4_8,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
