,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,4639,324052,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4635,324255,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4640,324016,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4636,324210,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4639,324044,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,7274,206231,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,7280,206285,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,7275,206453,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,7280,206311,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,7274,206436,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,7282,206311,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,7275,206391,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,7283,206308,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,7275,206413,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,7281,206311,4,1,1,8,rectangle,multimat-both-work-distribution,4_1_1_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,7177,208990,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,7177,208995,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,7177,208990,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,7177,208992,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,7177,208992,4,1,1,8,triangle,multimat-both-work-distribution,4_1_1_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
