,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5367,279439,8,256,8,1,1,1,warp-per-shift-shared-memory,8_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5677,264170,8,256,8,1,1,2,warp-per-shift-shared-memory,8_256_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5677,264193,8,256,8,1,1,4,warp-per-shift-shared-memory,8_256_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3627,413565,16,32,16,0,0,1,warp-per-shift-shared-memory,16_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3931,381471,16,32,16,0,0,2,warp-per-shift-shared-memory,16_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3805,393997,16,32,16,0,0,4,warp-per-shift-shared-memory,16_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3816,393080,16,32,16,0,0,8,warp-per-shift-shared-memory,16_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5220,287321,16,32,16,0,1,1,warp-per-shift-shared-memory,16_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5521,271649,16,32,16,0,1,2,warp-per-shift-shared-memory,16_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5378,278838,16,32,16,0,1,4,warp-per-shift-shared-memory,16_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5371,279206,16,32,16,0,1,8,warp-per-shift-shared-memory,16_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3152,475727,16,32,16,1,0,1,warp-per-shift-shared-memory,16_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3374,445513,16,32,16,1,0,2,warp-per-shift-shared-memory,16_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3308,453218,16,32,16,1,0,4,warp-per-shift-shared-memory,16_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3333,449767,16,32,16,1,0,8,warp-per-shift-shared-memory,16_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4833,310336,16,32,16,1,1,1,warp-per-shift-shared-memory,16_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4996,300192,16,32,16,1,1,2,warp-per-shift-shared-memory,16_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4995,300308,16,32,16,1,1,4,warp-per-shift-shared-memory,16_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4923,304466,16,32,16,1,1,8,warp-per-shift-shared-memory,16_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3619,415783,16,128,16,0,0,1,warp-per-shift-shared-memory,16_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3886,385902,16,128,16,0,0,2,warp-per-shift-shared-memory,16_128_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3876,386972,16,128,16,0,0,4,warp-per-shift-shared-memory,16_128_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5257,285457,16,128,16,0,1,1,warp-per-shift-shared-memory,16_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5499,272753,16,128,16,0,1,2,warp-per-shift-shared-memory,16_128_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5496,272931,16,128,16,0,1,4,warp-per-shift-shared-memory,16_128_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3209,467330,16,128,16,1,0,1,warp-per-shift-shared-memory,16_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3376,444256,16,128,16,1,0,2,warp-per-shift-shared-memory,16_128_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3373,444674,16,128,16,1,0,4,warp-per-shift-shared-memory,16_128_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4832,310387,16,128,16,1,1,1,warp-per-shift-shared-memory,16_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4997,300118,16,128,16,1,1,2,warp-per-shift-shared-memory,16_128_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4995,300309,16,128,16,1,1,4,warp-per-shift-shared-memory,16_128_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3617,416137,16,256,16,0,0,1,warp-per-shift-shared-memory,16_256_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5253,285629,16,256,16,0,1,1,warp-per-shift-shared-memory,16_256_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3210,467240,16,256,16,1,0,1,warp-per-shift-shared-memory,16_256_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4834,310263,16,256,16,1,1,1,warp-per-shift-shared-memory,16_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4010,374050,32,32,32,0,0,1,warp-per-shift-shared-memory,32_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4490,333992,32,32,32,0,0,2,warp-per-shift-shared-memory,32_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4327,346578,32,32,32,0,0,4,warp-per-shift-shared-memory,32_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4322,346997,32,32,32,0,0,8,warp-per-shift-shared-memory,32_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5632,266297,32,32,32,0,1,1,warp-per-shift-shared-memory,32_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6113,245331,32,32,32,0,1,2,warp-per-shift-shared-memory,32_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5949,252112,32,32,32,0,1,4,warp-per-shift-shared-memory,32_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5944,252337,32,32,32,0,1,8,warp-per-shift-shared-memory,32_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3513,427019,32,32,32,1,0,1,warp-per-shift-shared-memory,32_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3882,387054,32,32,32,1,0,2,warp-per-shift-shared-memory,32_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3850,389590,32,32,32,1,0,4,warp-per-shift-shared-memory,32_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3802,394463,32,32,32,1,0,8,warp-per-shift-shared-memory,32_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5143,291618,32,32,32,1,1,1,warp-per-shift-shared-memory,32_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5481,273605,32,32,32,1,1,2,warp-per-shift-shared-memory,32_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5471,274131,32,32,32,1,1,4,warp-per-shift-shared-memory,32_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5403,277639,32,32,32,1,1,8,warp-per-shift-shared-memory,32_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4009,374086,32,128,32,0,0,1,warp-per-shift-shared-memory,32_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5632,266302,32,128,32,0,1,1,warp-per-shift-shared-memory,32_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,3514,426868,32,128,32,1,0,1,warp-per-shift-shared-memory,32_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5143,291709,32,128,32,1,1,1,warp-per-shift-shared-memory,32_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6373,235502,8,32,8,0,0,1,warp-per-shift-shared-memory,8_32_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5572,269125,8,32,8,0,0,2,warp-per-shift-shared-memory,8_32_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6202,241859,8,32,8,0,0,4,warp-per-shift-shared-memory,8_32_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8538,175673,8,32,8,0,0,8,warp-per-shift-shared-memory,8_32_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8076,185741,8,32,8,0,1,1,warp-per-shift-shared-memory,8_32_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7258,206651,8,32,8,0,1,2,warp-per-shift-shared-memory,8_32_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7877,190413,8,32,8,0,1,4,warp-per-shift-shared-memory,8_32_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10201,147036,8,32,8,0,1,8,warp-per-shift-shared-memory,8_32_False_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5180,289587,8,32,8,1,0,1,warp-per-shift-shared-memory,8_32_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4658,322108,8,32,8,1,0,2,warp-per-shift-shared-memory,8_32_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5257,285296,8,32,8,1,0,4,warp-per-shift-shared-memory,8_32_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6883,217906,8,32,8,1,0,8,warp-per-shift-shared-memory,8_32_True_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6866,218494,8,32,8,1,1,1,warp-per-shift-shared-memory,8_32_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6339,236617,8,32,8,1,1,2,warp-per-shift-shared-memory,8_32_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6926,216556,8,32,8,1,1,4,warp-per-shift-shared-memory,8_32_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8553,175357,8,32,8,1,1,8,warp-per-shift-shared-memory,8_32_True_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6375,235532,8,128,8,0,0,1,warp-per-shift-shared-memory,8_128_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5573,269164,8,128,8,0,0,2,warp-per-shift-shared-memory,8_128_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6199,241932,8,128,8,0,0,4,warp-per-shift-shared-memory,8_128_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8534,175755,8,128,8,0,0,8,warp-per-shift-shared-memory,8_128_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8076,185762,8,128,8,0,1,1,warp-per-shift-shared-memory,8_128_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7262,206532,8,128,8,0,1,2,warp-per-shift-shared-memory,8_128_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7877,190458,8,128,8,0,1,4,warp-per-shift-shared-memory,8_128_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10199,147051,8,128,8,0,1,8,warp-per-shift-shared-memory,8_128_False_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5176,289908,8,128,8,1,0,1,warp-per-shift-shared-memory,8_128_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4652,322582,8,128,8,1,0,2,warp-per-shift-shared-memory,8_128_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5256,285345,8,128,8,1,0,4,warp-per-shift-shared-memory,8_128_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6883,217902,8,128,8,1,0,8,warp-per-shift-shared-memory,8_128_True_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6872,218285,8,128,8,1,1,1,warp-per-shift-shared-memory,8_128_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6342,236506,8,128,8,1,1,2,warp-per-shift-shared-memory,8_128_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6938,216115,8,128,8,1,1,4,warp-per-shift-shared-memory,8_128_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8553,175366,8,128,8,1,1,8,warp-per-shift-shared-memory,8_128_True_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6832,219548,8,256,8,0,0,1,warp-per-shift-shared-memory,8_256_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5777,259678,8,256,8,0,0,2,warp-per-shift-shared-memory,8_256_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6197,242011,8,256,8,0,0,4,warp-per-shift-shared-memory,8_256_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8512,176193,8,256,8,0,1,1,warp-per-shift-shared-memory,8_256_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7474,200708,8,256,8,0,1,2,warp-per-shift-shared-memory,8_256_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7877,190403,8,256,8,0,1,4,warp-per-shift-shared-memory,8_256_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5443,275550,8,256,8,1,0,1,warp-per-shift-shared-memory,8_256_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4878,307935,8,256,8,1,0,2,warp-per-shift-shared-memory,8_256_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5268,284685,8,256,8,1,0,4,warp-per-shift-shared-memory,8_256_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7086,211634,8,256,8,1,1,1,warp-per-shift-shared-memory,8_256_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6493,231016,8,256,8,1,1,2,warp-per-shift-shared-memory,8_256_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6891,217617,8,256,8,1,1,4,warp-per-shift-shared-memory,8_256_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5991,250415,16,32,16,0,0,1,warp-per-shift-shared-memory,16_32_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4797,312607,16,32,16,0,0,2,warp-per-shift-shared-memory,16_32_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4864,308453,16,32,16,0,0,4,warp-per-shift-shared-memory,16_32_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6531,229639,16,32,16,0,0,8,warp-per-shift-shared-memory,16_32_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7582,197832,16,32,16,0,1,1,warp-per-shift-shared-memory,16_32_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6433,233141,16,32,16,0,1,2,warp-per-shift-shared-memory,16_32_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6494,231039,16,32,16,0,1,4,warp-per-shift-shared-memory,16_32_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8147,184095,16,32,16,0,1,8,warp-per-shift-shared-memory,16_32_False_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5139,291895,16,32,16,1,0,1,warp-per-shift-shared-memory,16_32_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4058,370434,16,32,16,1,0,2,warp-per-shift-shared-memory,16_32_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4156,360844,16,32,16,1,0,4,warp-per-shift-shared-memory,16_32_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5361,279808,16,32,16,1,0,8,warp-per-shift-shared-memory,16_32_True_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6757,221926,16,32,16,1,1,1,warp-per-shift-shared-memory,16_32_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5664,264695,16,32,16,1,1,2,warp-per-shift-shared-memory,16_32_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5778,259559,16,32,16,1,1,4,warp-per-shift-shared-memory,16_32_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6980,214916,16,32,16,1,1,8,warp-per-shift-shared-memory,16_32_True_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5991,250393,16,128,16,0,0,1,warp-per-shift-shared-memory,16_128_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4798,312594,16,128,16,0,0,2,warp-per-shift-shared-memory,16_128_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4865,308389,16,128,16,0,0,4,warp-per-shift-shared-memory,16_128_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7584,197792,16,128,16,0,1,1,warp-per-shift-shared-memory,16_128_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6433,233152,16,128,16,0,1,2,warp-per-shift-shared-memory,16_128_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6496,230888,16,128,16,0,1,4,warp-per-shift-shared-memory,16_128_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5119,293034,16,128,16,1,0,1,warp-per-shift-shared-memory,16_128_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4061,370314,16,128,16,1,0,2,warp-per-shift-shared-memory,16_128_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4156,360838,16,128,16,1,0,4,warp-per-shift-shared-memory,16_128_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6757,221934,16,128,16,1,1,1,warp-per-shift-shared-memory,16_128_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5665,264690,16,128,16,1,1,2,warp-per-shift-shared-memory,16_128_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5778,259555,16,128,16,1,1,4,warp-per-shift-shared-memory,16_128_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6365,235763,16,256,16,0,0,1,warp-per-shift-shared-memory,16_256_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7992,187686,16,256,16,0,1,1,warp-per-shift-shared-memory,16_256_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5221,287332,16,256,16,1,0,1,warp-per-shift-shared-memory,16_256_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6859,218624,16,256,16,1,1,1,warp-per-shift-shared-memory,16_256_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6698,223946,32,32,32,0,0,1,warp-per-shift-shared-memory,32_32_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4992,300500,32,32,32,0,0,2,warp-per-shift-shared-memory,32_32_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5777,259729,32,32,32,0,0,4,warp-per-shift-shared-memory,32_32_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7926,189261,32,32,32,0,0,8,warp-per-shift-shared-memory,32_32_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8327,180117,32,32,32,0,1,1,warp-per-shift-shared-memory,32_32_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6626,226413,32,32,32,0,1,2,warp-per-shift-shared-memory,32_32_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7400,202663,32,32,32,0,1,4,warp-per-shift-shared-memory,32_32_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
