,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,119797,10000,4,4,multimat-right,4_4,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,195016,7690,4,8,multimat-right,4_8,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,204060,7349,8,1,multimat-right,8_1,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,127458,10000,8,2,multimat-right,8_2,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,172021,8717,8,4,multimat-right,8_4,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,271391,5527,8,8,multimat-right,8_8,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,568609,2638,4,1,multimat-right,4_1,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,496103,3024,4,2,multimat-right,4_2,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,502326,2987,4,4,multimat-right,4_4,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,500886,2995,4,8,multimat-right,4_8,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,726215,2066,8,1,multimat-right,8_1,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,482322,3111,8,2,multimat-right,8_2,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,486455,3084,8,4,multimat-right,8_4,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,489331,3066,8,8,multimat-right,8_8,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,487000,3083,4,1,multimat-right,4_1,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,341357,4391,4,2,multimat-right,4_2,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,274146,5472,4,4,multimat-right,4_4,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,328135,4572,4,8,multimat-right,4_8,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,504930,2973,8,1,multimat-right,8_1,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,357053,4202,8,2,multimat-right,8_2,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,404606,3707,8,4,multimat-right,8_4,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,279427,5368,8,8,multimat-right,8_8,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,1667203,898,4,1,multimat-right,4_1,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1385589,1083,4,2,multimat-right,4_2,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1100675,1363,4,4,multimat-right,4_4,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1232076,1218,4,8,multimat-right,4_8,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1747073,863,8,1,multimat-right,8_1,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1437565,1044,8,2,multimat-right,8_2,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1454704,1032,8,4,multimat-right,8_4,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1106200,1356,8,8,multimat-right,8_8,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,6081656,247,4,1,multimat-right,4_1,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,4660696,323,4,2,multimat-right,4_2,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,4522964,332,4,4,multimat-right,4_4,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,4862263,309,4,8,multimat-right,4_8,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6480118,232,8,1,multimat-right,8_1,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5729123,262,8,2,multimat-right,8_2,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5739949,262,8,4,multimat-right,8_4,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,5756755,261,8,8,multimat-right,8_8,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,3603642,418,8,4,multimat-right,8_4,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,4253435,357,8,2,multimat-right,8_2,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,5950055,256,8,1,multimat-right,8_1,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3262537,462,4,8,multimat-right,4_8,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3412083,442,4,4,multimat-right,4_4,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,5923150,257,4,1,multimat-right,4_1,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,4191384,363,4,2,multimat-right,4_2,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,3515233,428,8,8,multimat-right,8_8,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,21282801,69,4,1,multimat-right,4_1,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,15113501,97,4,2,multimat-right,4_2,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,12616601,100,4,4,multimat-right,4_4,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,11768176,100,4,8,multimat-right,4_8,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,21316682,69,8,1,multimat-right,8_1,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,15334076,95,8,2,multimat-right,8_2,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,13486109,100,8,4,multimat-right,8_4,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,14286088,100,8,8,multimat-right,8_8,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,84245503,18,4,1,multimat-right,4_1,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,58464409,27,4,2,multimat-right,4_2,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,44432449,35,4,4,multimat-right,4_4,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,38135476,40,4,8,multimat-right,4_8,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,84107835,18,8,1,multimat-right,8_1,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,58315325,27,8,2,multimat-right,8_2,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,44476328,35,8,4,multimat-right,8_4,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,38224356,40,8,8,multimat-right,8_8,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
