,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,4692036,10000,1840279,81,4479416,10000,2969576,1,8482454,1,256,fft,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
0,15134256,10000,8046107,19,14611839,10000,5521574,1,111909865,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
1,15130372,10000,7986176,19,14612036,10000,5590902,1,11373888,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
2,15130488,10000,8010482,19,14611844,10000,5615204,1,10967947,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
3,15130541,10000,7993990,19,14612217,10000,5670087,1,12545684,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
4,15130760,10000,8021854,19,14612020,10000,5634489,1,11877242,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
5,15130875,10000,8016033,19,14612177,10000,10901210,1,11461838,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
6,15130614,10000,8003691,19,14611851,10000,10904082,1,13548405,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
7,15130604,10000,8017057,19,14612055,10000,10936421,1,12850603,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
8,15130310,10000,7997601,19,14611976,10000,10924821,1,12373931,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
9,15130149,10000,7998948,19,14611683,10000,10798719,1,13097460,1,256,fft,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
