,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,34854,43037,8,2,1,basic-multirow_both,8_2_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,23119,64888,8,2,2,basic-multirow_both,8_2_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,27025,55495,8,2,4,basic-multirow_both,8_2_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,23289,64399,8,2,8,basic-multirow_both,8_2_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,42311,35449,8,4,1,basic-multirow_both,8_4_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,29986,50022,8,4,2,basic-multirow_both,8_4_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,28976,51754,8,4,4,basic-multirow_both,8_4_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,23882,62806,8,4,8,basic-multirow_both,8_4_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,43129,34777,8,8,1,basic-multirow_both,8_8_1,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,45488,32975,8,8,2,basic-multirow_both,8_8_2,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,34609,43336,8,8,4,basic-multirow_both,8_8_4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,32854,45654,8,8,8,basic-multirow_both,8_8_8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,34404,43603,4,1,1,basic-multirow_both,4_1_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,29494,50812,4,1,2,basic-multirow_both,4_1_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,27906,53758,4,1,4,basic-multirow_both,4_1_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,24354,61591,4,1,8,basic-multirow_both,4_1_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,49463,30327,4,2,1,basic-multirow_both,4_2_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,30148,49745,4,2,2,basic-multirow_both,4_2_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,34507,43470,4,2,4,basic-multirow_both,4_2_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,27451,54645,4,2,8,basic-multirow_both,4_2_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,60496,24796,4,4,1,basic-multirow_both,4_4_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,41092,36501,4,4,2,basic-multirow_both,4_4_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,37583,39916,4,4,4,basic-multirow_both,4_4_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,28410,52795,4,4,8,basic-multirow_both,4_4_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,60033,24989,4,8,1,basic-multirow_both,4_8_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,64283,23332,4,8,2,basic-multirow_both,4_8_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,45855,32711,4,8,4,basic-multirow_both,4_8_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,40716,36840,4,8,8,basic-multirow_both,4_8_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,35845,41847,8,1,1,basic-multirow_both,8_1_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,32244,46525,8,1,2,basic-multirow_both,8_1_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,30673,48889,8,1,4,basic-multirow_both,8_1_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,28567,52507,8,1,8,basic-multirow_both,8_1_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,50804,29526,8,2,1,basic-multirow_both,8_2_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,32723,45837,8,2,2,basic-multirow_both,8_2_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,37055,40483,8,2,4,basic-multirow_both,8_2_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,30746,48782,8,2,8,basic-multirow_both,8_2_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,59184,25345,8,4,1,basic-multirow_both,8_4_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,41856,35836,8,4,2,basic-multirow_both,8_4_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,39827,37662,8,4,4,basic-multirow_both,8_4_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,31570,47515,8,4,8,basic-multirow_both,8_4_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,60719,24706,8,8,1,basic-multirow_both,8_8_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,63253,23715,8,8,2,basic-multirow_both,8_8_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,46375,32347,8,8,4,basic-multirow_both,8_8_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,41348,36276,8,8,8,basic-multirow_both,8_8_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,88304,16987,4,1,1,basic-multirow_both,4_1_1,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,78272,19163,4,1,2,basic-multirow_both,4_1_2,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,76571,19590,4,1,4,basic-multirow_both,4_1_4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,63363,23673,4,1,8,basic-multirow_both,4_1_8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,133301,8700,4,2,1,basic-multirow_both,4_2_1,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,78585,19088,4,2,2,basic-multirow_both,4_2_2,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,93983,15970,4,2,4,basic-multirow_both,4_2_4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
