,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
7,9803,15294,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,9807,15293,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,9800,15301,16,warp-per-shift-simple-indexing,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,12519,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
1,12519,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
2,12520,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
3,12521,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
4,12521,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,12520,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,12521,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,12521,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,12521,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,12521,10000,32,warp-per-shift-simple-indexing,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,14097,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,14095,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,14106,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,14100,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,14098,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,14099,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,14103,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,14099,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,14094,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,14098,10000,4,warp-per-shift-simple-indexing,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14277,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,14279,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,14279,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,14281,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,14280,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
