,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,13947,107549,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14006,107123,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,11421,131295,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12122,123737,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,47128,31618,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,47785,31183,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14420,104226,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14319,104744,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12181,123121,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12285,122161,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,173483,8593,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,142019,10000,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,35758,41640,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,36369,41041,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,28625,52030,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,28709,51917,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,149527,9746,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,148811,10000,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,36277,41135,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,37741,39572,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,29913,49824,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,30321,49196,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,161014,9051,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,162638,9176,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39359,37910,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
