,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,1917762,799,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1918275,794,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1917238,799,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1917916,799,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1909612,801,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1603482,1011,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1618359,967,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1715909,898,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1695302,914,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1701663,895,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1665982,942,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1727981,888,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1722954,894,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1727978,891,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1726871,896,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1577709,1042,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1631777,955,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1659942,925,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1660465,925,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1663907,927,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1660466,926,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1659565,946,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1666033,919,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1693372,940,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1701417,909,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1412854,1179,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1485809,1043,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1513700,1030,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1514680,1026,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1514828,1021,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1514682,1028,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1522877,1040,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1525733,1022,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1531158,1040,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1543428,1014,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1209414,1399,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1302915,1202,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1304407,1196,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1277916,1246,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1312523,1187,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1312763,1191,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1317343,1212,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1323885,1186,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1324069,1190,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1322316,1183,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1140375,1476,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1232290,1300,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1242275,1302,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1247638,1259,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1251194,1284,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1257091,1253,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1256982,1252,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1257086,1258,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1258492,1253,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1264004,1279,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1742419,949,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1832901,845,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
