,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
19,5942,26527,3283,45824,5942,26520,105213,1,5554925,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5960,26461,2069,72342,5731,27505,96305,1,10002312,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
1,5950,26482,2072,72346,5724,27529,254228,1,6283117,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
2,5950,26476,2067,72121,5721,27574,229491,1,5863156,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
3,5954,26488,2075,71926,5732,27520,231051,1,5741909,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
4,5957,26449,2075,72246,5725,27529,96982,1,5870748,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
5,5953,26460,2078,72271,5726,27510,138811,1,5161345,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
6,5955,26460,2073,72203,5724,27523,109087,1,4903407,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
7,5954,26462,2074,72224,5733,27505,80889,1,5473567,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
8,5957,26449,2073,72164,5726,27528,225684,1,5946472,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
9,5954,26470,2080,71919,5721,27532,244871,1,6032050,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
10,5954,26466,2076,72260,5732,27484,82447,1,5560776,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
11,5957,26447,2075,72264,5726,27514,227644,1,5863873,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
12,5954,26470,2076,72253,5722,27549,194487,1,5537158,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
13,5951,26482,2075,72253,5728,27496,261082,1,107378994,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
14,5948,26484,2075,72278,5731,27492,83135,1,4239994,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
15,5954,26475,2072,72331,5729,27520,210998,1,5871004,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
16,5954,26466,2072,72207,5731,27492,226071,1,5431583,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
17,5956,26474,2072,72150,5730,27537,227558,1,5612198,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
18,5949,26478,2076,72317,5726,27510,155222,1,3697974,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
19,5950,26470,2075,72371,5725,27541,242948,1,6097668,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5841,27016,7820,19185,6020,26181,88358,1,8441447,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
1,5839,26987,7823,19183,6018,26172,94945,1,5987431,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
2,5840,27008,7821,19179,6019,26190,243396,1,5744610,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
3,5838,26999,7821,19179,6017,26170,227661,1,5624839,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
4,5842,27002,7820,19176,6016,26196,228435,1,5441940,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
5,5844,27011,7821,19177,6016,26173,246562,1,4873675,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
6,5843,26969,7823,19179,6017,26197,245607,1,4766235,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
7,5846,26944,7823,19179,6018,26200,248433,1,4889261,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
8,5845,27021,7822,19182,6019,26183,251966,1,4908641,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
9,5841,26965,7819,19178,6017,26161,84324,1,5107404,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
10,5846,27034,7822,19172,6017,26182,223460,1,5216705,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
11,5840,26980,7821,19183,6019,26182,83985,1,4805293,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
12,5835,26982,7821,19176,6016,26177,238686,1,4953265,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
13,5845,26981,7821,19177,6017,26194,242443,1,5173544,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
14,5844,27024,7820,19182,6019,26168,224604,1,5192883,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
15,5840,26987,7824,19178,6014,26200,226069,1,5204501,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
16,5845,26997,7823,19181,6016,26173,186525,1,5151671,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
17,5845,26983,7823,19174,6018,26167,83542,1,3577505,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
18,5841,26992,7821,19175,6019,26184,226772,1,6074456,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
19,5838,26983,7822,19177,6017,26169,230201,1,7561182,1,256,fft,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,6174,25549,3399,44194,5961,26424,229267,1,8131279,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
1,6131,25662,3397,44169,5953,26444,238029,1,5536518,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
2,6132,25702,3396,44071,5955,26446,236471,1,5352580,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
3,6133,25669,3396,44182,5937,26521,85611,1,5419098,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
4,6157,25601,3398,44059,5938,26517,228436,1,5962359,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
