,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,7023,213438,8,256,8,1,1,1,warp-per-shift-shared-memory,8_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7488,199832,8,256,8,1,1,2,warp-per-shift-shared-memory,8_256_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7366,203217,8,256,8,1,1,4,warp-per-shift-shared-memory,8_256_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5355,280310,16,32,16,0,0,1,warp-per-shift-shared-memory,16_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5320,282097,16,32,16,0,0,2,warp-per-shift-shared-memory,16_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5286,283638,16,32,16,0,0,4,warp-per-shift-shared-memory,16_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5228,287039,16,32,16,0,0,8,warp-per-shift-shared-memory,16_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7131,210249,16,32,16,0,1,1,warp-per-shift-shared-memory,16_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7094,211341,16,32,16,0,1,2,warp-per-shift-shared-memory,16_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7096,210854,16,32,16,0,1,4,warp-per-shift-shared-memory,16_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6980,214790,16,32,16,0,1,8,warp-per-shift-shared-memory,16_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4566,327640,16,32,16,1,0,1,warp-per-shift-shared-memory,16_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4480,334707,16,32,16,1,0,2,warp-per-shift-shared-memory,16_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4509,330799,16,32,16,1,0,4,warp-per-shift-shared-memory,16_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4493,332957,16,32,16,1,0,8,warp-per-shift-shared-memory,16_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6306,237503,16,32,16,1,1,1,warp-per-shift-shared-memory,16_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6223,240683,16,32,16,1,1,2,warp-per-shift-shared-memory,16_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6328,236850,16,32,16,1,1,4,warp-per-shift-shared-memory,16_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6252,239922,16,32,16,1,1,8,warp-per-shift-shared-memory,16_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5362,279946,16,128,16,0,0,1,warp-per-shift-shared-memory,16_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5373,278917,16,128,16,0,0,2,warp-per-shift-shared-memory,16_128_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5301,282783,16,128,16,0,0,4,warp-per-shift-shared-memory,16_128_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7131,210300,16,128,16,0,1,1,warp-per-shift-shared-memory,16_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7153,209437,16,128,16,0,1,2,warp-per-shift-shared-memory,16_128_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7018,213336,16,128,16,0,1,4,warp-per-shift-shared-memory,16_128_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4565,327077,16,128,16,1,0,1,warp-per-shift-shared-memory,16_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4477,334998,16,128,16,1,0,2,warp-per-shift-shared-memory,16_128_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4496,333374,16,128,16,1,0,4,warp-per-shift-shared-memory,16_128_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6297,237912,16,128,16,1,1,1,warp-per-shift-shared-memory,16_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6323,237046,16,128,16,1,1,2,warp-per-shift-shared-memory,16_128_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6255,239444,16,128,16,1,1,4,warp-per-shift-shared-memory,16_128_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5385,278912,16,256,16,0,0,1,warp-per-shift-shared-memory,16_256_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7354,173849,16,256,16,0,1,1,warp-per-shift-shared-memory,16_256_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4564,328728,16,256,16,1,0,1,warp-per-shift-shared-memory,16_256_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6296,238036,16,256,16,1,1,1,warp-per-shift-shared-memory,16_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5614,267152,32,32,32,0,0,1,warp-per-shift-shared-memory,32_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6159,243181,32,32,32,0,0,2,warp-per-shift-shared-memory,32_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7385,202654,32,32,32,0,1,1,warp-per-shift-shared-memory,32_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7932,189049,32,32,32,0,1,2,warp-per-shift-shared-memory,32_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4746,315564,32,32,32,1,0,1,warp-per-shift-shared-memory,32_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5084,294761,32,32,32,1,0,2,warp-per-shift-shared-memory,32_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6468,232000,32,32,32,1,1,1,warp-per-shift-shared-memory,32_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6861,218276,32,32,32,1,1,2,warp-per-shift-shared-memory,32_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5598,267782,32,128,32,0,0,1,warp-per-shift-shared-memory,32_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7515,168294,32,128,32,0,1,1,warp-per-shift-shared-memory,32_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4706,316252,32,128,32,1,0,1,warp-per-shift-shared-memory,32_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6455,232095,32,128,32,1,1,1,warp-per-shift-shared-memory,32_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15447,97125,8,32,8,0,0,1,warp-per-shift-shared-memory,8_32_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11374,131884,8,32,8,0,0,2,warp-per-shift-shared-memory,8_32_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12104,123895,8,32,8,0,0,4,warp-per-shift-shared-memory,8_32_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12727,117838,8,32,8,0,0,8,warp-per-shift-shared-memory,8_32_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17489,85757,8,32,8,0,1,1,warp-per-shift-shared-memory,8_32_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13367,112220,8,32,8,0,1,2,warp-per-shift-shared-memory,8_32_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14109,106292,8,32,8,0,1,4,warp-per-shift-shared-memory,8_32_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14660,102343,8,32,8,0,1,8,warp-per-shift-shared-memory,8_32_False_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11327,132491,8,32,8,1,0,1,warp-per-shift-shared-memory,8_32_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8554,174843,8,32,8,1,0,2,warp-per-shift-shared-memory,8_32_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7546,198615,8,32,8,1,0,4,warp-per-shift-shared-memory,8_32_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9345,160494,8,32,8,1,0,8,warp-per-shift-shared-memory,8_32_True_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13320,112598,8,32,8,1,1,1,warp-per-shift-shared-memory,8_32_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10539,142222,8,32,8,1,1,2,warp-per-shift-shared-memory,8_32_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9439,158691,8,32,8,1,1,4,warp-per-shift-shared-memory,8_32_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11351,132185,8,32,8,1,1,8,warp-per-shift-shared-memory,8_32_True_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15389,97470,8,128,8,0,0,1,warp-per-shift-shared-memory,8_128_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11376,131891,8,128,8,0,0,2,warp-per-shift-shared-memory,8_128_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12132,123562,8,128,8,0,0,4,warp-per-shift-shared-memory,8_128_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12708,118034,8,128,8,0,0,8,warp-per-shift-shared-memory,8_128_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17396,86214,8,128,8,0,1,1,warp-per-shift-shared-memory,8_128_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13316,112623,8,128,8,0,1,2,warp-per-shift-shared-memory,8_128_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14086,106422,8,128,8,0,1,4,warp-per-shift-shared-memory,8_128_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14694,102076,8,128,8,0,1,8,warp-per-shift-shared-memory,8_128_False_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11361,132028,8,128,8,1,0,1,warp-per-shift-shared-memory,8_128_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8530,175846,8,128,8,1,0,2,warp-per-shift-shared-memory,8_128_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7501,199845,8,128,8,1,0,4,warp-per-shift-shared-memory,8_128_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9355,160315,8,128,8,1,0,8,warp-per-shift-shared-memory,8_128_True_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13399,111904,8,128,8,1,1,1,warp-per-shift-shared-memory,8_128_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10576,141781,8,128,8,1,1,2,warp-per-shift-shared-memory,8_128_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9578,156513,8,128,8,1,1,4,warp-per-shift-shared-memory,8_128_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11314,132579,8,128,8,1,1,8,warp-per-shift-shared-memory,8_128_True_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
