,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
6,478935,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,478977,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,478948,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,478945,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,436197,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,436096,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,436060,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,436104,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,436152,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,436093,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,436125,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,436119,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,436152,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,436078,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,428584,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,428605,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,428608,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,428637,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,428625,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,428617,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,428634,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,428623,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,428628,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,428602,350,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,382931,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,382895,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,382871,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,382895,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,382879,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,382874,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,382874,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,382889,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,382908,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,382881,392,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,331948,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,331848,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,331850,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,331834,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,331841,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,331841,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,331862,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,331846,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,331850,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,331853,452,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,313329,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,313305,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,313303,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,313307,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,313311,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,313307,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,313320,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,313322,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,313333,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,313320,479,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,463897,323,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,463818,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,463780,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,463815,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,463811,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,463830,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,463811,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,463834,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,463818,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,463837,324,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,459744,326,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,459719,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,459697,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,459707,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,459716,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,459716,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,459716,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,459716,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,459713,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,459688,327,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,465373,322,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,465358,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,465355,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,465377,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,465409,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,465390,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,465409,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,465431,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,465393,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,465403,323,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,369613,405,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,369525,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,369487,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,369522,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,369500,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,369525,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,369517,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,369502,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,369537,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,369545,406,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,322769,464,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,322588,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,322582,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,322597,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,322604,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,322586,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,322601,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,322597,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,322617,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,322606,465,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,311259,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,311143,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,311166,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,311170,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,311166,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,311170,483,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,311181,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,311134,483,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,311166,482,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,311162,483,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,336836,445,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,336739,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,336753,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,336769,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,336765,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,336769,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,336772,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,336767,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,336781,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,336758,446,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,274702,545,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,274647,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,274647,546,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,274652,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,274647,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,274626,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,274619,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,274632,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,274640,546,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,274667,547,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,266139,563,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
